,,reaction_id,smiles,reaction_core,activation_energy
141,141,141,[CH3:1][C@:2]([Cl:3])([C:4]#[N:5])[CH:6]([NH2:7])[NH2:8].[F-:9],"[[2, 1, 5, 8]]",15.204327426410735
142,142,142,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 1, 8]]",11.344335156853903
143,143,143,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 1, 9]]",11.655943400427846
144,144,144,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Br:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 2, 8]]",24.10963886991324
145,145,145,[N:1]#[C:2][C@:3]([NH2:4])([Br:5])[CH2:6][N+:7](=[O:8])[O-:9].[Cl-:10],"[[4, 2, 5, 9]]",23.577319023701843
146,146,146,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 2, 8]]",29.30565929027448
147,147,147,[N:1]#[C:2][C@:3]([NH2:4])([Cl:5])[CH2:6][NH2:7].[F-:8],"[[4, 2, 5, 7]]",9.580491170707882
148,148,148,[N:1]#[C:2][C@:3]([NH2:4])([Cl:5])[CH2:6][NH2:7].[H-:8],"[[4, 2, 5, 7]]",10.224391735059989
149,149,149,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Cl:6])[C:7]#[N:8].[F-:9],"[[5, 3, 2, 8]]",3.188434392637406
150,150,150,[N:1]#[C:2][C:3]([Br:4])([C:5]#[N:6])[CH2:7][NH2:8].[F-:9],"[[3, 2, 6, 8]]",5.097271675472053
151,151,151,[N:1]#[C:2][C@H:3]([NH2:4])[C@@:5]([NH2:6])([Br:7])[C:8]#[N:9].[F-:10],"[[6, 4, 2, 9]]",0.9707356317045148
152,152,152,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([F:6])[C:7]#[N:8].[F-:9],"[[5, 3, 2, 8]]",5.329068463664063
154,154,154,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 2, 8]]",4.804738955550738
155,155,155,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[F-:10],"[[6, 4, 1, 9]]",2.601924294231081
156,156,156,[N:1]#[C:2][C@:3]([NH2:4])([Br:5])[C@@H:6]([NH2:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[4, 2, 5, 10]]",1.4634259627990167
157,157,157,[CH3:1][CH:2]([CH3:3])[C@@:4]([NH2:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 1, 8]]",18.414497206060368
158,158,158,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[H-:10],"[[6, 4, 1, 9]]",1.0030173770154855
159,159,159,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[F-:10],"[[6, 4, 1, 9]]",3.3104107660948205
160,160,160,[NH2:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 1, 8]]",8.498943279700137
161,161,161,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[Cl-:10],"[[6, 4, 2, 9]]",26.37855828885354
162,162,162,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[H-:10],"[[6, 4, 1, 9]]",0.7080538090137056
163,163,163,[CH3:1][C@H:2]([F:3])[C@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 3, 7]]",1.3290800365286513
164,164,164,[CH3:1][C@H:2]([Br:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[F-:8],"[[2, 1, 3, 7]]",4.332324547911283
165,165,165,[CH3:1][C@H:2]([Br:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[Cl-:8],"[[2, 1, 3, 7]]",27.28733610936021
166,166,166,[CH3:1][C@:2]([Br:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[2, 1, 3, 8]]",31.09962804143616
167,167,167,[CH3:1][C@H:2]([F:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 3, 7]]",3.9962513013464527
168,168,168,[CH3:1][C@:2]([Cl:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 3, 8]]",12.493372295434147
169,169,169,[CH3:1][C@:2]([Br:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 3, 8]]",12.01347254772941
